,PERSON_ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,FROM_YEAR,TO_YEAR,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG,HEIGHT_DEC
10,203507,Giannis,Antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,7-0,243.0,9,34.0,Forward,Active,Bucks,MIL,Milwaukee,2013.0,2022.0,Y,Y,2013,1,15,Y,7.0
11,1628961,Kostas,Antetokounmpo,1997-11-20T00:00:00,Dayton,Greece,Dayton/Greece,6-10,200.0,4,37.0,Forward,Inactive,Lakers,LAL,Los Angeles,2018.0,2020.0,Y,Y,2018,2,60,N,6.833
12,203648,Thanasis,Antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-7,219.0,4,43.0,Forward,Active,Bucks,MIL,Milwaukee,2015.0,2022.0,Y,Y,2014,2,51,N,6.583
13,1630175,Cole,Anthony,2000-05-15T00:00:00,North Carolina,USA,North Carolina/USA,6-3,185.0,2,50.0,Guard,Active,Magic,ORL,Orlando,2020.0,2022.0,Y,Y,2020,1,15,N,6.25
14,1628384,O.G.,Anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,232.0,5,3.0,Forward,Active,Raptors,TOR,Toronto,2017.0,2022.0,Y,Y,2017,1,23,N,6.583
15,1627853,Ryan,Arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,195.0,5,51.0,Guard,Active,Trail Blazers,POR,Portland,2017.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.25
16,1630166,Deni,Avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,Maccabi Tel Aviv/Israel,6-9,210.0,2,9.0,Forward,Active,Wizards,WAS,Washington,2020.0,2022.0,Y,Y,2020,1,9,N,6.75
17,1629028,Deandre,Ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,7-0,250.0,4,22.0,Center,Active,Suns,PHX,Phoenix,2018.0,2022.0,Y,Y,2018,1,1,N,7.0
18,1628962,Udoka,Azubuike,1999-09-17T00:00:00,Kansas,Nigeria,Kansas/Nigeria,6-11,270.0,2,20.0,Center-Forward,Active,Jazz,UTA,Utah,2020.0,2022.0,Y,Y,2020,1,27,N,6.917
19,1628963,Marvin,Bagley III,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-10,235.0,4,35.0,Forward,Active,Pistons,DET,Detroit,2018.0,2022.0,Y,Y,2018,1,2,N,6.833
20,1631116,Patrick,Baldwin Jr.,2002-11-18T00:00:00,Wisconsin-Milwaukee,USA,Wisconsin-Milwaukee/USA,6-9,220.0,0,7.0,Forward,Active,Warriors,GSW,Golden State,2022.0,2022.0,Y,Y,2022,1,28,N,6.75
21,1630163,LaMelo,Ball,2001-08-22T00:00:00,Illawarra,USA,Illawarra/USA,6-7,180.0,2,1.0,Guard,Active,Hornets,CHA,Charlotte,2020.0,2022.0,Y,Y,2020,1,3,N,6.583
22,1628366,Lonzo,Ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190.0,5,2.0,Guard,Active,Bulls,CHI,Chicago,2017.0,2022.0,Y,Y,2017,1,2,N,6.5
23,1628964,Mo,Bamba,1998-05-12T00:00:00,Texas,USA,Texas/USA,7-0,231.0,4,12.0,Center,Active,Lakers,LAL,Los Angeles,2018.0,2022.0,Y,Y,2018,1,6,N,7.0
24,1631094,Paolo,Banchero,2002-11-12T00:00:00,Duke,USA,Duke/USA,6-10,250.0,0,5.0,Forward,Active,Magic,ORL,Orlando,2022.0,2022.0,Y,Y,2022,1,1,N,6.833
25,1630217,Desmond,Bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215.0,2,22.0,Guard,Active,Grizzlies,MEM,Memphis,2020.0,2022.0,Y,Y,2020,1,30,N,6.417
26,1630625,Dalano,Banton,1999-11-07T00:00:00,Nebraska,Canada,Nebraska/Canada,6-7,204.0,1,45.0,Forward,Active,Raptors,TOR,Toronto,2021.0,2022.0,Y,Y,2021,2,46,N,6.583
27,1631230,Dominick,Barlow,2003-05-26T00:00:00,                                   ,USA,Overtime Elite/USA,6-9,215.0,0,26.0,Forward,Active,Spurs,SAS,San Antonio,2022.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.75
28,203084,Harrison,Barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225.0,10,40.0,Forward,Active,Kings,SAC,Sacramento,2012.0,2022.0,Y,Y,2012,1,7,N,6.667
29,1630567,Scottie,Barnes,2001-08-01T00:00:00,Florida State,USA,Florida State/USA,6-8,225.0,1,4.0,Forward,Active,Raptors,TOR,Toronto,2021.0,2022.0,Y,Y,2021,1,4,N,6.667
30,1629628,RJ,Barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214.0,3,9.0,Forward-Guard,Active,Knicks,NYK,New York,2019.0,2022.0,Y,Y,2019,1,3,N,6.5
31,203115,Will,Barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-5,181.0,10,1.0,Guard,Active,Raptors,TOR,Toronto,2012.0,2022.0,Y,Y,2012,2,40,N,6.417
32,1629646,Charles,Bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,Western Kentucky/Nigeria,6-9,230.0,1,28.0,Center-Forward,Active,Spurs,SAS,San Antonio,2021.0,2022.0,Y,Y,2021,2,53,N,6.75
33,1628966,Keita,Bates-Diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229.0,4,31.0,Forward,Active,Spurs,SAS,San Antonio,2018.0,2022.0,Y,Y,2018,2,48,N,6.667
34,201587,Nicolas,Batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230.0,14,33.0,Guard-Forward,Active,Clippers,LAC,LA,2008.0,2022.0,Y,Y,2008,1,25,N,6.667
35,203145,Kent,Bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,6-4,195.0,11,9.0,Guard-Forward,Inactive,Lakers,LAL,Los Angeles,2012.0,2021.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.333
36,1629647,Darius,Bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,6-9,216.0,3,55.0,Forward,Active,Suns,PHX,Phoenix,2019.0,2022.0,Y,Y,2019,1,23,N,6.75
37,203078,Bradley,Beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207.0,10,3.0,Guard,Active,Wizards,WAS,Washington,2012.0,2022.0,Y,Y,2012,1,3,N,6.333
38,1627736,Malik,Beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187.0,6,5.0,Guard,Active,Lakers,LAL,Los Angeles,2016.0,2022.0,Y,Y,2016,1,19,N,6.333
39,1630699,MarJon,Beauchamp,2000-10-12T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-7,199.0,0,0.0,Forward,Active,Bucks,MIL,Milwaukee,2021.0,2022.0,Y,Y,2022,1,24,N,6.583
40,202722,Davis,Bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225.0,6,44.0,Forward,Active,Mavericks,DAL,Dallas,2016.0,2022.0,Y,Y,2011,2,42,N,6.833
41,201976,Patrick,Beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-2,180.0,10,21.0,Guard,Active,Bulls,CHI,Chicago,2012.0,2022.0,Y,Y,2009,2,42,N,6.167
42,1630180,Saddiq,Bey,1999-04-09T00:00:00,Villanova,USA,Villanova/USA,6-7,215.0,2,41.0,Forward,Active,Hawks,ATL,Atlanta,2020.0,2022.0,Y,Y,2020,1,19,N,6.583
43,203920,Khem,Birch,1992-09-28T00:00:00,UNLV,Canada,UNLV/Canada,6-8,233.0,5,24.0,Center,Active,Spurs,SAS,San Antonio,2017.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.667
44,1629048,Goga,Bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,6-11,250.0,3,88.0,Center-Forward,Active,Magic,ORL,Orlando,2019.0,2022.0,Y,Y,2019,1,18,N,6.917
45,202687,Bismack,Biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,DRC,Baloncesto Fuenlabrada/DRC,6-8,255.0,11,18.0,Center,Active,Suns,PHX,Phoenix,2011.0,2022.0,Y,Y,2011,1,7,N,6.667
46,1631205,Buddy,Boeheim,1999-11-11T00:00:00,Syracuse,USA,Syracuse/USA,6-6,205.0,0,27.0,Forward,Active,Pistons,DET,Detroit,2022.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.5
47,203992,Bogdan,Bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-5,225.0,5,13.0,Guard,Active,Hawks,ATL,Atlanta,2017.0,2022.0,Y,Y,2014,1,27,N,6.417
48,202711,Bojan,Bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226.0,8,44.0,Forward,Active,Pistons,DET,Detroit,2014.0,2022.0,Y,Y,2011,2,31,N,6.583
49,1629626,Bol,Bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-2,220.0,3,10.0,Center-Forward,Active,Magic,ORL,Orlando,2019.0,2022.0,Y,Y,2019,2,44,N,7.167
50,1629716,Marques,Bolden,1998-04-17T00:00:00,Duke,USA,Duke/USA,6-10,249.0,3,,Center,Inactive,,,,2019.0,2020.0,Y,Y,2019,,,N,6.833
51,1630195,Leandro,Bolmaro,2000-09-11T00:00:00,FC Barcelona,Argentina,FC Barcelona/Argentina,6-6,200.0,1,,Forward,Inactive,,,,2021.0,2022.0,Y,Y,2020,1,23,N,6.5
52,1626164,Devin,Booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-5,206.0,7,1.0,Guard,Active,Suns,PHX,Phoenix,2015.0,2022.0,Y,Y,2015,1,13,N,6.417
53,1630527,Brandon,Boston Jr.,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188.0,1,4.0,Guard,Active,Clippers,LAC,LA,2021.0,2022.0,Y,Y,2021,2,51,N,6.5
54,1628449,Chris,Boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200.0,5,25.0,Forward-Center,Active,Raptors,TOR,Toronto,2017.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.75
55,1630547,James,Bouknight,2000-09-18T00:00:00,Connecticut,USA,Connecticut/USA,6-4,190.0,1,2.0,Guard,Active,Hornets,CHA,Charlotte,2021.0,2022.0,Y,Y,2021,1,11,N,6.333
56,1631123,Jamaree,Bouyea,1999-06-27T00:00:00,San Francisco,USA,San Francisco/USA,6-2,180.0,0,,Guard,Inactive,,,,2022.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.167
57,1628396,Tony,Bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-11,248.0,5,,Center-Forward,Inactive,,,,2017.0,2022.0,Y,Y,2017,1,28,N,6.917
58,1631103,Malaki,Branham,2003-05-12T00:00:00,Ohio State,USA,Ohio State/USA,6-4,180.0,0,22.0,Forward,Active,Spurs,SAS,San Antonio,2022.0,2022.0,Y,Y,2022,1,20,N,6.333
59,1631128,Christian,Braun,2001-04-17T00:00:00,Kansas,USA,Kansas/USA,6-6,220.0,0,0.0,Guard,Active,Nuggets,DEN,Denver,2022.0,2022.0,Y,Y,2022,1,21,N,6.5
60,1628969,Mikal,Bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209.0,4,1.0,Forward,Active,Nets,BKN,Brooklyn,2018.0,2022.0,Y,Y,2018,1,10,N,6.5
61,1629052,Oshae,Brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210.0,3,12.0,Forward-Guard,Active,Pacers,IND,Indiana,2019.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.583
62,1627763,Malcolm,Brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-4,229.0,6,13.0,Guard,Active,Celtics,BOS,Boston,2016.0,2022.0,Y,Y,2016,2,36,N,6.333
63,1628415,Dillon,Brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-6,225.0,5,24.0,Guard-Forward,Active,Grizzlies,MEM,Memphis,2017.0,2022.0,Y,Y,2017,2,45,N,6.5
64,1628971,Bruce,Brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202.0,4,11.0,Guard-Forward,Active,Nuggets,DEN,Denver,2018.0,2022.0,Y,Y,2018,2,42,N,6.333
65,1627759,Jaylen,Brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223.0,6,7.0,Guard-Forward,Active,Celtics,BOS,Boston,2016.0,2022.0,Y,Y,2016,1,3,N,6.5
66,1631112,Kendall,Brown,2003-05-11T00:00:00,Baylor,USA,Baylor/USA,6-7,205.0,0,10.0,Guard,Active,Pacers,IND,Indiana,2022.0,2022.0,Y,Y,2022,2,48,N,6.583
67,1629650,Moses,Brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,245.0,3,,Center,Inactive,,,,2019.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,7.167
68,1630535,Greg,Brown III,2001-09-01T00:00:00,Texas,USA,Texas/USA,6-7,206.0,1,,Forward,Inactive,,,,2021.0,2022.0,Y,Y,2021,2,43,N,6.583
69,1629718,Charlie,Brown Jr.,1997-02-02T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-6,199.0,4,16.0,Guard,Inactive,76ers,PHI,Philadelphia,2019.0,2021.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.5
70,1628972,Troy,Brown Jr.,1999-07-28T00:00:00,Oregon,USA,Oregon/USA,6-7,215.0,4,7.0,Guard-Forward,Active,Lakers,LAL,Los Angeles,2018.0,2022.0,Y,Y,2018,1,15,N,6.583
71,1628973,Jalen,Brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-2,190.0,4,11.0,Guard,Active,Knicks,NYK,New York,2018.0,2022.0,Y,Y,2018,2,33,N,6.167
72,1628418,Thomas,Bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248.0,5,13.0,Center-Forward,Active,Nuggets,DEN,Denver,2017.0,2022.0,Y,Y,2017,2,42,N,6.833
73,203493,Reggie,Bullock,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-6,205.0,9,25.0,Guard-Forward,Active,Mavericks,DAL,Dallas,2013.0,2022.0,Y,Y,2013,1,25,N,6.5
74,203504,Trey,Burke,1992-11-12T00:00:00,Michigan,USA,Michigan/USA,6-0,185.0,10,3.0,Guard,Inactive,Mavericks,DAL,Dallas,2013.0,2021.0,Y,Y,2013,1,9,N,6.0
75,202692,Alec,Burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-6,214.0,11,5.0,Guard,Active,Pistons,DET,Detroit,2011.0,2022.0,Y,Y,2011,1,12,N,6.5
76,1630215,Jared,Butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193.0,1,14.0,Guard,Active,Thunder,OKC,Oklahoma City,2021.0,2022.0,Y,Y,2021,2,40,N,6.25
77,202710,Jimmy,Butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230.0,11,22.0,Forward,Active,Heat,MIA,Miami,2011.0,2022.0,Y,Y,2011,1,30,N,6.583
78,1631288,Jamal,Cain,1999-03-20T00:00:00,Oakland,USA,Oakland/USA,6-6,191.0,0,8.0,Forward,Active,Heat,MIA,Miami,2022.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.5
79,203484,Kentavious,Caldwell-Pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,204.0,9,5.0,Guard,Active,Nuggets,DEN,Denver,2013.0,2022.0,Y,Y,2013,1,8,N,6.417
80,1628427,Vlatko,Cancar,1997-04-10T00:00:00,San Pablo Burgos,Slovenia,San Pablo Burgos/Slovenia,6-8,236.0,3,31.0,Forward,Active,Nuggets,DEN,Denver,2019.0,2022.0,Y,Y,2017,2,49,N,6.667
81,1629962,Devin,Cannady,1996-05-21T00:00:00,Princeton,USA,Princeton/USA,6-2,183.0,3,30.0,Guard,Inactive,Magic,ORL,Orlando,2020.0,2021.0,Y,Y,2019,,,N,6.167
82,203991,Clint,Capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,Elan Chalon/Switzerland,6-10,256.0,8,15.0,Center,Active,Hawks,ATL,Atlanta,2014.0,2022.0,Y,Y,2014,1,25,N,6.833
83,1630176,Vernon,Carey Jr.,2001-02-25T00:00:00,Duke,USA,Duke/USA,6-10,270.0,2,,Center,Inactive,,,,2020.0,2022.0,Y,Y,2020,2,32,N,6.833
84,1628975,Jevon,Carter,1995-09-14T00:00:00,West Virginia,USA,West Virginia/USA,6-1,200.0,4,5.0,Guard,Active,Bucks,MIL,Milwaukee,2018.0,2022.0,Y,Y,2018,2,32,N,6.083
85,1628976,Wendell,Carter Jr.,1999-04-16T00:00:00,Duke,USA,Duke/USA,6-10,270.0,4,34.0,Center-Forward,Active,Magic,ORL,Orlando,2018.0,2022.0,Y,Y,2018,1,7,N,6.833
86,1627936,Alex,Caruso,1994-02-28T00:00:00,Texas A&M,USA,Texas A&M/USA,6-5,186.0,5,6.0,Guard,Active,Bulls,CHI,Chicago,2017.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.417
87,1626161,Willie,Cauley-Stein,1993-08-18T00:00:00,Kentucky,USA,Kentucky/USA,7-0,240.0,8,,Center,Inactive,,,,2015.0,2021.0,Y,Y,2015,1,6,N,7.0
88,1630577,Julian,Champagnie,2001-06-29T00:00:00,St. John's,USA,St. John's/USA,6-7,217.0,0,30.0,Forward,Active,Spurs,SAS,San Antonio,2022.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.583
89,1630551,Justin,Champagnie,2001-06-29T00:00:00,Pittsburgh,USA,Pittsburgh/USA,6-6,206.0,1,,Guard-Forward,Inactive,,,,2021.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.5
90,1631113,Kennedy,Chandler,2002-09-16T00:00:00,Tennessee,USA,Tennessee/USA,5-11,170.0,0,1.0,Guard,Active,Grizzlies,MEM,Memphis,2022.0,2022.0,Y,Y,2022,2,38,N,5.917
91,1629597,Zylan,Cheatham,1995-11-17T00:00:00,Arizona State,USA,Arizona State/USA,6-5,220.0,3,,Forward,Inactive,,,,2019.0,2021.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.417
92,1629185,Chris,Chiozza,1995-11-21T00:00:00,Florida,USA,Florida/USA,5-11,175.0,5,2.0,Guard,Inactive,Warriors,GSW,Golden State,2018.0,2021.0,Y,Y,Undrafted,Undrafted,Undrafted,N,5.917
93,1627737,Marquese,Chriss,1997-07-02T00:00:00,Washington,USA,Washington/USA,6-9,240.0,7,35.0,Forward,Inactive,Mavericks,DAL,Dallas,2016.0,2021.0,Y,Y,2016,1,8,N,6.75
94,1631108,Max,Christie,2003-02-10T00:00:00,Michigan State,USA,Michigan State/USA,6-5,190.0,0,10.0,Guard,Active,Lakers,LAL,Los Angeles,2022.0,2022.0,Y,Y,2022,2,35,N,6.417
95,1630528,Josh,Christopher,2001-12-08T00:00:00,Arizona State,USA,Arizona State/USA,6-4,215.0,1,9.0,Guard,Active,Rockets,HOU,Houston,2021.0,2022.0,Y,Y,2021,1,24,N,6.333
96,1629634,Brandon,Clarke,1996-09-19T00:00:00,Gonzaga,Canada,Gonzaga/Canada,6-8,215.0,3,15.0,Forward,Active,Grizzlies,MEM,Memphis,2019.0,2022.0,Y,Y,2019,1,21,N,6.667
97,203903,Jordan,Clarkson,1992-06-07T00:00:00,Missouri,USA,Missouri/USA,6-5,194.0,8,0.0,Guard,Active,Jazz,UTA,Utah,2014.0,2022.0,Y,Y,2014,2,46,N,6.417
98,1629651,Nic,Claxton,1999-04-17T00:00:00,Georgia,USA,Georgia/USA,6-11,215.0,3,33.0,Center,Active,Nets,BKN,Brooklyn,2019.0,2022.0,Y,Y,2019,2,31,N,6.917
99,1629599,Amir,Coffey,1997-06-17T00:00:00,Minnesota,USA,Minnesota/USA,6-7,210.0,3,7.0,Guard-Forward,Active,Clippers,LAC,LA,2019.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.583
100,1628381,John,Collins,1997-09-23T00:00:00,Wake Forest,USA,Wake Forest/USA,6-9,226.0,5,20.0,Forward-Center,Active,Hawks,ATL,Atlanta,2017.0,2022.0,Y,Y,2017,1,19,N,6.75
101,1628380,Zach,Collins,1997-11-19T00:00:00,Gonzaga,USA,Gonzaga/USA,6-11,250.0,4,23.0,Forward-Center,Active,Spurs,SAS,San Antonio,2017.0,2022.0,Y,Y,2017,1,10,N,6.917
102,201144,Mike,Conley,1987-10-11T00:00:00,Ohio State,USA,Ohio State/USA,6-1,175.0,15,10.0,Guard,Active,Timberwolves,MIN,Minnesota,2007.0,2022.0,Y,Y,2007,1,4,N,6.083
103,1626192,Pat,Connaughton,1993-01-06T00:00:00,Notre Dame,USA,Notre Dame/USA,6-5,209.0,7,24.0,Guard,Active,Bucks,MIL,Milwaukee,2015.0,2022.0,Y,Y,2015,2,41,N,6.417
104,1626188,Quinn,Cook,1993-03-23T00:00:00,Duke,USA,Duke/USA,6-1,180.0,6,,Guard,Inactive,,,,2016.0,2020.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.083
105,1630536,Sharife,Cooper,2001-06-11T00:00:00,Auburn,USA,Auburn/USA,6-1,176.0,2,2.0,Guard,Inactive,Hawks,ATL,Atlanta,2021.0,2021.0,Y,Y,2021,2,48,N,6.083
106,203496,Robert,Covington,1990-12-14T00:00:00,Tennessee State,USA,Tennessee State/USA,6-7,209.0,9,23.0,Forward,Active,Clippers,LAC,LA,2013.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.583
107,1628470,Torrey,Craig,1990-12-19T00:00:00,South Carolina Upstate,USA,South Carolina Upstate/USA,6-7,221.0,5,0.0,Forward,Active,Suns,PHX,Phoenix,2017.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.583
108,203109,Jae,Crowder,1990-07-06T00:00:00,Marquette,USA,Marquette/USA,6-6,235.0,10,99.0,Forward,Active,Bucks,MIL,Milwaukee,2012.0,2022.0,Y,Y,2012,2,34,N,6.5
109,1629633,Jarrett,Culver,1999-02-20T00:00:00,Texas Tech,USA,Texas Tech/USA,6-6,195.0,3,,Guard-Forward,Inactive,,,,2019.0,2022.0,Y,Y,2019,1,6,N,6.5
110,1630595,Cade,Cunningham,2001-09-25T00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-7,220.0,1,2.0,Guard,Active,Pistons,DET,Detroit,2021.0,2022.0,Y,Y,2021,1,1,N,6.583
111,203552,Seth,Curry,1990-08-23T00:00:00,Duke,USA,Duke/USA,6-1,185.0,8,30.0,Guard,Active,Nets,BKN,Brooklyn,2013.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.083
112,201939,Stephen,Curry,1988-03-14T00:00:00,Davidson,USA,Davidson/USA,6-2,185.0,13,30.0,Guard,Active,Warriors,GSW,Golden State,2009.0,2022.0,Y,Y,2009,1,7,Y,6.167
113,1630700,Dyson,Daniels,2003-03-17T00:00:00,NBA G League Ignite,Australia,NBA G League Ignite/Australia,6-7,199.0,0,11.0,Guard,Active,Pelicans,NOP,New Orleans,2021.0,2022.0,Y,Y,2022,1,8,N,6.583
114,1630268,Nate,Darling,1998-08-30T00:00:00,Delaware,Canada,Delaware/Canada,6-6,200.0,2,30.0,Guard,Inactive,Hornets,CHA,Charlotte,2020.0,2020.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.5
115,203076,Anthony,Davis,1993-03-11T00:00:00,Kentucky,USA,Kentucky/USA,6-10,253.0,10,3.0,Forward-Center,Active,Lakers,LAL,Los Angeles,2012.0,2022.0,Y,Y,2012,1,1,Y,6.833
116,1631098,Johnny,Davis,2002-02-27T00:00:00,Wisconsin,USA,Wisconsin/USA,6-4,195.0,0,1.0,Guard,Active,Wizards,WAS,Washington,2022.0,2022.0,Y,Y,2022,1,10,N,6.333
117,1629056,Terence,Davis,1997-05-16T00:00:00,Mississippi,USA,Mississippi/USA,6-4,201.0,3,3.0,Guard,Active,Kings,SAC,Sacramento,2019.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.333
